"documents.cafename"	"documents.contents"	"documents.datetime"	"documents.thumbnail"	"documents.title"	"documents.url"	"meta.is_end"	"meta.pageable_count"	"meta.total_count"
"BIGDATA"	"S&amp;serviceKind=1 서울 열린<b>데이터</b>광장 모든 서울시민을 위한 공공<b>데이터</b> 열린<b>데이터</b>...보세요. data.seoul.go.kr 1. cctv<b>분석</b> 전체 순서.txt 6.00KB .. https://github..."	"2021-04-24T23:01:22.000+09:00"	"https://search4.kakaocdn.net/argon/130x130_85_c/BRwGFhO4S9y"	"<b>데이터</b><b>분석</b>-CCTV+인사이트+<b>분석</b>용<b>데이터</b>만들기"	"http://cafe.daum.net/bigmega/pJVC/7617"	"FALSE"	"983"	"387345"
"학교멘"	"빅<b>데이터</b><b>분석</b>기사 응시자격 빅<b>데이터</b> 전문가 준비방법! 안녕하세요! 정식인가 교육원 소속 교육전문 멘토 입니다 최근 4차산업시대로 들어오면서 <b>데이터</b> 부분에 대한..."	"2021-04-16T17:19:19.000+09:00"	""	"빅<b>데이터</b><b>분석</b>기사 응시자격 빅<b>데이터</b> 전문가 준비방법!"	"http://cafe.daum.net/eduplanners/BFGW/563"	"FALSE"	"983"	"387345"
"텐인텐[10년 10억 만들기]"	"요약: 나이 들어 빅<b>데이터</b> <b>분석</b> 기사 공부를 ADP 공부와 함께 해보고 있는데 통계 공부가 필요함을 깨닫다. 즐기고 가르칠 수 있는 레벨이 되고 싶어요. 빅<b>데이터</b>..."	"2021-04-23T01:37:17.000+09:00"	""	"빅<b>데이터</b> <b>분석</b> 기사 필기 시험 본 후"	"http://cafe.daum.net/10in10/1pRl/1275139"	"FALSE"	"983"	"387345"
"라미로운"	"&lt;빅<b>데이터</b><b>분석</b>기사 응시자격 갖추고 빅<b>데이터</b>전문가로 거듭나자&gt; 4차 산업혁명이 도래하면서 넘치는 정보 속에서 살고 있습니다 요즘은 검색 한번으로 엄청난 양의 정보..."	"2021-04-09T16:01:05.000+09:00"	""	"빅<b>데이터</b><b>분석</b>기사 응시자격 갖추고 빅<b>데이터</b>전문가로..."	"http://cafe.daum.net/rami-rowoon/Cpw8/12"	"FALSE"	"983"	"387345"
"You are you!"	"것도 드물 것이다. 사실, <b>데이터</b> 랭글링(Data Wrangling, 소위 말하는 <b>데이터</b> 정제 및 변경)과 탐구 <b>데이터</b> <b>분석</b>(exploratory data analysis)은 <b>데이터</b> 사이언티스트..."	"2021-03-27T12:02:32.000+09:00"	""	"‘<b>데이터</b> 랭글링’ 및 ‘탐구 <b>데이터</b> <b>분석</b>’ 따라잡기"	"http://cafe.daum.net/baeey/3Gpp/423"	"FALSE"	"983"	"387345"
"통계분석연구회 (SAS-Statistics Analysis Study)"	"R을 이용한 공공<b>데이터</b> <b>분석</b>(오대영 지음 | 한나래아카데미 ) * 책소개 공공<b>데이터</b>에 특화된 풍부한 <b>분석</b> 사례와 예제를 담은 R <b>데이터</b> <b>분석</b>서 4.0산업 시대의 핵심..."	"2021-04-12T07:59:57.000+09:00"	""	"R을 이용한 공공<b>데이터</b> <b>분석</b>(오대영 지음 | 한나래..."	"http://cafe.daum.net/statsas/3E53/485"	"FALSE"	"983"	"387345"
"텐인텐[10년 10억 만들기]"	"있을 것이라는 점도 예상해볼 수 있다. 그렇다면 팔란티어의 비스니스 모델인 <b>데이터</b> <b>분석</b> 시장은 향후 성장성이 어느 정도일까? 빅<b>데이터</b> <b>분석</b> 서비스 시장의 유망성..."	"2021-04-29T01:22:53.000+09:00"	"https://search2.kakaocdn.net/argon/130x130_85_c/8wykxc3VznR"	"PLTR] 미래 빅<b>데이터</b> <b>분석</b> 유망 기업 팔란티어 주가 및..."	"http://cafe.daum.net/10in10/Ekvd/596"	"FALSE"	"983"	"387345"
"가수 전유진 공식 팬카페"	"트로트 가수 브랜드평판 2021년 4월 빅<b>데이터</b> <b>분석</b>결과, 1위 임영웅 2위 영탁 이찬원3위 양지은8위 홍지윤9위 김다현10위 김태현11위 오유진21위 전유진37위순으로 <b>분석</b>..."	"2021-04-25T15:45:26.000+09:00"	"https://search2.kakaocdn.net/argon/130x130_85_c/9UbjLdSbbbk"	"브랜드 2021년 4월 빅<b>데이터</b> <b>분석</b>결과... 37위(전유진)"	"http://cafe.daum.net/TrotProdigyJunYouJin/9KYE/4257"	"FALSE"	"983"	"387345"
"교육 정보 모아모아"	"빅<b>데이터</b><b>분석</b>기사 응시자격 안녕하세요~ 전문학습상담사 버블쌤입니다~! 전 세계적으로 빅<b>데이터</b>가 미래성장동력으로 인식되며 국가, 기업의 주요 전략분야로 부상하고..."	"2021-04-08T18:28:39.000+09:00"	""	"빅<b>데이터</b><b>분석</b>기사 응시자격 갖추고 실무교육도 하자~!"	"http://cafe.daum.net/sj-football/W0bJ/16"	"FALSE"	"983"	"387345"
"전국무역인연합 (전무련)"	"[A] Python 금융 <b>데이터</b> <b>분석</b> 신청기간교육기간교육시간수강료 2021.04.22 - 2021.05.16 2021.05.24 - 2021.07.02 120시간 무료 페이스북 공유 카카오스토리 공유..."	"2021-05-06T23:36:25.000+09:00"	""	"DT스쿨 금융 빅<b>데이터</b> <b>분석</b> 과정 비대면 교육 개최 안내..."	"http://cafe.daum.net/ktrc21/5By6/37402"	"FALSE"	"983"	"387345"
